X	X.1	K0.1radni.4zima.DF
17	30	177,184554 
17	45	183,327039 
18	00	186,766149 
18	15	188,978967 
18	30	192,167544 
18	45	193,192521 
19	00	191,006474 
19	15	191,431478 
19	30	193,134893 
19	45	189,979028 
20	00	192,115653 
20	15	192,970534 
20	30	189,980635 
20	45	186,406971 
21	00	182,445677 
21	15	186,286031 
21	30	191,551595 
21	45	194,733517 
22	00	193,550552 
22	15	193,607242 
22	30	188,873762 
22	45	180,943526 
23	00	171,544504 
23	15	164,050994 
23	30	153,325526 
23	45	144,861843 
X	X.1	P1.2subota.4zima
0	00	63,60496
0	15	62,044724
0	30	59,860444
0	45	59,180824
1	00	58,148784
1	15	57,646604
1	30	57,442484
1	45	57,0778
2	00	56,92664
2	15	55,355548
2	30	56,067264
2	45	55,918748
3	00	55,558608
3	15	55,849056
3	30	55,755076
3	45	56,865172
4	00	56,799832
4	15	55,864716
4	30	56,2892
4	45	56,293524
5	00	54,313376
5	15	53,820992
5	30	54,959864
5	45	55,983636
6	00	56,724656
6	15	60,438416
6	30	66,778232
6	45	66,197056
7	00	67,894372
7	15	73,106724
7	30	75,875468
7	45	80,200652
8	00	83,996796
8	15	97,2492
8	30	103,165368
8	45	108,486008
9	00	116,049372
9	15	136,018116
9	30	141,761012
9	45	142,45686
10	00	145,88742
10	15	147,704808
10	30	147,652204
10	45	147,018092
11	00	142,709132
11	15	142,564156
11	30	143,355132
11	45	142,714464
12	00	142,523348
12	15	135,55788
12	30	134,297844
12	45	130,16562
13	00	125,854824
13	15	122,369368
13	30	122,533576
13	45	118,824688
14	00	115,547892
14	15	112,607256
14	30	108,198184
14	45	106,214632
15	00	104,7506
15	15	101,958484
15	30	100,800024
15	45	100,757516
16	00	100,687532
16	15	100,402036
16	30	100,920268
16	45	102,546212
17	00	102,007404
17	15	102,504432
17	30	102,145152
17	45	104,159888
18	00	105,916888
18	15	107,66304
18	30	107,501492
18	45	107,926092
19	00	107,81726
19	15	109,353768
19	30	107,617664
19	45	106,278444
20	00	104,37166
20	15	104,992784
20	30	104,800856
20	45	103,010336
21	00	97,72194
21	15	82,794536
21	30	77,145668
21	45	76,469432
22	00	75,810688
22	15	73,246368
22	30	71,575784
22	45	70,991808
23	00	69,381724
23	15	68,086108
23	30	67,464932
23	45	65,15752
X	X.1	P2.2subota.4zima
0	00	59,600268
0	15	57,863868
0	30	59,644904
0	45	58,265324
1	00	58,322992
1	15	59,643436
1	30	56,23884
1	45	57,597488
2	00	54,557036
2	15	55,636336
2	30	53,843268
2	45	52,969416
3	00	54,318792
3	15	55,015356
3	30	55,330012
3	45	57,50272
4	00	55,656276
4	15	54,92142
4	30	55,786604
4	45	53,926588
5	00	55,726864
5	15	53,933416
5	30	54,431076
5	45	53,689948
6	00	55,33136
6	15	57,759676
6	30	58,578104
6	45	58,298004
7	00	63,391736
7	15	71,957156
7	30	75,816068
7	45	80,544364
8	00	83,591784
8	15	94,26684
8	30	112,158544
8	45	119,885968
9	00	127,693504
9	15	151,275544
9	30	155,44562
9	45	160,116268
10	00	155,500792
10	15	156,900584
10	30	157,215632
10	45	161,855644
11	00	165,283688
11	15	154,248788
11	30	151,909572
11	45	153,396176
12	00	149,911664
12	15	147,788548
12	30	144,600924
12	45	139,790284
13	00	127,264356
13	15	123,869256
13	30	121,500268
13	45	123,932036
14	00	128,658728
14	15	126,9643
14	30	126,030556
14	45	129,86984
15	00	128,936004
15	15	127,588084
15	30	124,478496
15	45	124,587656
16	00	123,455716
16	15	123,37434
16	30	121,477308
16	45	120,755196
17	00	119,630924
17	15	119,531928
17	30	121,617868
17	45	123,804036
18	00	126,8328
18	15	130,941364
18	30	132,063652
18	45	132,664012
19	00	133,611108
19	15	130,947492
19	30	131,877164
19	45	130,163888
20	00	130,502
20	15	128,600632
20	30	127,3761
20	45	123,86574
21	00	112,204716
21	15	91,481016
21	30	83,625636
21	45	82,047808
22	00	80,542308
22	15	70,844636
22	30	65,952064
22	45	63,84466
23	00	62,259076
23	15	61,327404
23	30	63,517228
23	45	73,42566
X	X.1	JRO.2subota.4zima
0	00	240,638866
0	15	241,724223
0	30	241,644565
0	45	242,537596
1	00	244,141246
1	15	245,010564
1	30	244,835893
1	45	244,428349
2	00	244,774072
2	15	245,52808
2	30	244,850862
2	45	244,712339
3	00	245,010185
3	15	244,369306
3	30	244,191364
3	45	243,734496
4	00	243,862546
4	15	244,033651
4	30	243,566171
4	45	243,689687
5	00	243,374059
5	15	243,128072
5	30	242,903906
5	45	242,528348
6	00	242,024616
6	15	232,327383
6	30	219,508191
6	45	196,203033
7	00	158,035995
7	15	132,579417
7	30	43,319728
7	45	6,896932
8	00	4,045387
8	15	2,594688
8	30	2,039427
8	45	1,621041
9	00	1,470742
9	15	00,969499
9	30	00,884451
9	45	00,872158
10	00	00,95153
10	15	1,248306
10	30	1,753591
10	45	2,2643
11	00	2,150846
11	15	1,819337
11	30	2,428989
11	45	2,933488
12	00	2,808885
12	15	3,024703
12	30	2,616536
12	45	2,855849
13	00	4,272806
13	15	3,356096
13	30	3,319902
13	45	3,972186
14	00	4,836723
14	15	3,809343
14	30	3,960329
14	45	4,328281
15	00	4,105287
15	15	4,99106
15	30	5,019057
15	45	4,673276
16	00	4,898884
16	15	6,73634
16	30	13,092329
16	45	53,567669
17	00	113,541224
17	15	143,538161
17	30	163,648652
17	45	177,414595
18	00	199,078066
18	15	216,155424
18	30	231,512228
18	45	232,611637
19	00	232,76745
19	15	232,963956
19	30	233,193041
19	45	233,02527
20	00	233,095138
20	15	233,880866
20	30	234,015395
20	45	234,552114
21	00	235,585436
21	15	241,377951
21	30	245,860452
21	45	244,709243
22	00	241,523382
22	15	243,065991
22	30	242,464623
22	45	240,612299
23	00	240,375835
23	15	241,508213
23	30	243,377939
23	45	242,806883
X	X.1	K0.3nedjelja.4zima
0	00	137,507557 
0	15	126,946425 
0	30	118,716005 
0	45	110,862225 
1	00	102,972019 
1	15	97,537019 
1	30	93,431032 
1	45	89,117073 
2	00	85,807253 
2	15	83,398790 
2	30	81,111270 
2	45	78,093856 
3	00	76,423324 
3	15	74,268436 
3	30	72,862370 
3	45	72,846888 
4	00	70,794700 
4	15	70,442423 
4	30	70,559739 
4	45	70,230100 
5	00	69,590283 
5	15	69,938278 
5	30	69,929918 
5	45	70,827866 
6	00	72,439476 
6	15	74,835127 
6	30	76,274548 
6	45	80,301269 
7	00	82,145091 
7	15	86,541519 
7	30	92,581185 
7	45	99,403114 
8	00	105,497444 
8	15	112,772720 
8	30	121,906641 
8	45	131,061585 
9	00	138,423131 
9	15	143,488530 
9	30	149,337493 
9	45	153,876390 
10	00	159,583191 
10	15	164,060405 
10	30	171,361948 
10	45	173,625572 
11	00	176,546493 
11	15	178,031218 
11	30	179,759376 
11	45	181,629363 
12	00	181,510605 
12	15	180,708350 
12	30	177,776196 
12	45	175,589918 
13	00	167,609268 
13	15	160,866455 
13	30	156,495066 
13	45	151,333981 
14	00	149,270492 
14	15	147,110504 
14	30	145,767575 
14	45	142,090054 
15	00	141,246830 
15	15	140,759633 
15	30	139,410951 
15	45	136,749003 
16	00	136,462326 
16	15	137,584948 
16	30	141,676275 
16	45	145,482838 
17	00	149,701515 
17	15	157,103339 
17	30	163,119821 
17	45	169,069568 
18	00	171,538035 
18	15	174,985293 
18	30	176,623320 
18	45	179,968097 
19	00	180,343784 
19	15	183,195504 
19	30	187,403371 
19	45	185,716481 
20	00	185,356866 
20	15	186,913638 
20	30	185,103255 
20	45	182,510389 
21	00	178,418535 
21	15	185,290929 
21	30	192,384966 
21	45	192,931013 
22	00	190,664414 
22	15	191,534331 
22	30	185,278704 
22	45	175,337792 
23	00	164,508494 
23	15	151,911363 
23	30	139,738750 
23	45	130,444208 
X	X.1	P1.3nedjelja.4zima
0	00	65,987316
0	15	65,025532
0	30	65,4712
0	45	63,00406
1	00	63,978052
1	15	62,191704
1	30	63,02596
1	45	62,88844
2	00	61,862528
2	15	62,03774
2	30	60,923172
2	45	61,398948
3	00	59,97304
3	15	60,51974
3	30	60,047896
3	45	60,05582
4	00	59,690536
4	15	59,65824
4	30	59,69652
4	45	60,512952
5	00	58,018112
5	15	57,93286
5	30	58,35502
5	45	58,679408
6	00	59,215684
6	15	61,593264
6	30	66,943048
6	45	66,342156
7	00	64,328348
7	15	63,617752
7	30	63,52566
7	45	63,702428
8	00	61,888728
8	15	64,478904
8	30	65,261444
8	45	66,858396
9	00	65,842912
9	15	65,304892
9	30	66,162508
9	45	69,973972
10	00	73,910944
10	15	84,049932
10	30	88,47128
10	45	90,75876
11	00	89,978712
11	15	89,641456
11	30	90,891228
11	45	90,744116
12	00	91,814256
12	15	91,673236
12	30	91,264268
12	45	86,997112
13	00	87,324876
13	15	87,421052
13	30	86,795076
13	45	85,71094
14	00	85,503896
14	15	85,77824
14	30	87,178988
14	45	85,173516
15	00	85,502212
15	15	86,208096
15	30	85,806064
15	45	85,820284
16	00	87,339648
16	15	87,998232
16	30	89,731256
16	45	92,27134
17	00	94,7131
17	15	96,184156
17	30	99,638524
17	45	100,567708
18	00	100,465172
18	15	102,862584
18	30	101,123428
18	45	100,786536
19	00	100,037056
19	15	100,325552
19	30	99,807156
19	45	98,7508
20	00	98,30788
20	15	99,574688
20	30	96,62288
20	45	96,041148
21	00	91,554
21	15	81,90832
21	30	78,049256
21	45	77,12082
22	00	76,436692
22	15	74,72036
22	30	73,65976
22	45	71,983944
23	00	69,7231
23	15	68,0272
23	30	66,512236
23	45	65,672612
X	X.1	P2.3nedjelja.4zima
0	00	81,238264
0	15	81,90748
0	30	81,21156
0	45	79,693248
1	00	78,32912
1	15	79,439932
1	30	79,897432
1	45	81,903532
2	00	82,214292
2	15	83,813988
2	30	82,41186
2	45	79,758496
3	00	80,517412
3	15	80,420732
3	30	75,709832
3	45	71,35178
4	00	70,509552
4	15	67,913504
4	30	66,98348
4	45	61,274756
5	00	59,552152
5	15	57,935632
5	30	58,084244
5	45	58,197044
6	00	59,532908
6	15	58,831156
6	30	59,670864
6	45	58,892312
7	00	56,736796
7	15	55,472284
7	30	56,339856
7	45	58,102668
8	00	57,777208
8	15	59,059608
8	30	57,574788
8	45	61,0893
9	00	62,57806
9	15	67,561824
9	30	70,759368
9	45	77,476912
10	00	79,820268
10	15	94,483956
10	30	95,966856
10	45	94,712016
11	00	98,202076
11	15	101,239512
11	30	95,735684
11	45	95,321592
12	00	96,4732
12	15	93,52546
12	30	91,99746
12	45	94,034964
13	00	92,944308
13	15	88,359156
13	30	88,484636
13	45	90,989692
14	00	91,711172
14	15	91,585928
14	30	90,315424
14	45	91,96626
15	00	90,647516
15	15	90,097944
15	30	90,078152
15	45	91,984552
16	00	91,563576
16	15	93,1615
16	30	93,58372
16	45	93,439908
17	00	95,826584
17	15	98,067132
17	30	98,0749
17	45	99,933904
18	00	101,092568
18	15	103,4065
18	30	108,81856
18	45	112,994136
19	00	114,148128
19	15	115,6925
19	30	118,355812
19	45	114,31788
20	00	113,363064
20	15	112,479692
20	30	111,085004
20	45	110,026784
21	00	100,796936
21	15	86,9154
21	30	81,630096
21	45	82,350004
22	00	82,571912
22	15	71,004712
22	30	63,979116
22	45	63,537452
23	00	61,093416
23	15	60,147848
23	30	62,725532
23	45	63,355884
X	X.1	JRO.3nedjelja.4zima
0	00	246,774788
0	15	249,129632
0	30	251,419857
0	45	250,456043
1	00	252,112315
1	15	251,417197
1	30	251,565052
1	45	249,578784
2	00	248,773941
2	15	251,083093
2	30	251,11974
2	45	250,77044
3	00	249,382557
3	15	249,902273
3	30	250,006589
3	45	250,304452
4	00	249,659436
4	15	249,646915
4	30	249,775416
4	45	249,569962
5	00	249,312687
5	15	248,59311
5	30	248,737331
5	45	247,74538
6	00	247,665823
6	15	239,849482
6	30	227,432366
6	45	208,289365
7	00	168,815765
7	15	147,355078
7	30	84,903939
7	45	20,72015
8	00	3,321119
8	15	2,799082
8	30	2,295308
8	45	2,412432
9	00	2,185658
9	15	1,815501
9	30	1,871658
9	45	1,947267
10	00	1,841466
10	15	2,082943
10	30	2,387085
10	45	3,246509
11	00	3,205056
11	15	3,177105
11	30	4,110462
11	45	3,998855
12	00	4,037645
12	15	4,172854
12	30	5,118228
12	45	5,971993
13	00	6,129928
13	15	7,058794
13	30	7,789222
13	45	7,208134
14	00	6,773019
14	15	4,794051
14	30	3,811745
14	45	3,637212
15	00	2,995689
15	15	2,433121
15	30	2,289332
15	45	2,511235
16	00	2,912611
16	15	4,583503
16	30	10,923756
16	45	54,84757
17	00	135,548038
17	15	171,282731
17	30	191,203704
17	45	197,12055
18	00	218,710225
18	15	224,480799
18	30	238,091437
18	45	238,230836
19	00	238,532373
19	15	238,846447
19	30	238,682652
19	45	238,423524
20	00	238,541527
20	15	238,391674
20	30	237,68004
20	45	238,196902
21	00	239,936301
21	15	245,212336
21	30	248,882323
21	45	249,945004
22	00	249,872465
22	15	251,555016
22	30	250,772914
22	45	247,556208
23	00	246,423492
23	15	247,111489
23	30	248,099673
23	45	248,590731
