;;K0,1radni,13prijelazno DF;P1,1radni,13prijelazno DF;P2,1radni,13prijelazno DF;JR0,1radni,13prijelazno DF;K0,2subota,13prijelazno;P1,2subota,13prijelazno;P2,2subota,13prijelazno;JRO,2subota,13prijelazno;K0,3nedjelja,13prijelazno;P1,3nedjelja,13prijelazno;P2,3nedjelja,13prijelazno;JRO,3nedjelja,13prijelazno
16;30;69,8869655;80,28456615;75,67190959;0,871895662;70,375023;67,52260511;66,28409861;1,721348305;65,19865571;89,97729886;76,05271559;1,213083007
16;45;69,90348354;79,79592077;75,378422;0,860682294;72,4563439;68,35703386;65,43130757;1,342768539;65,10850106;91,27395972;76,47635061;1,505871753
17;00;70,52282304;79,25162123;78,2938348;0,758989454;73,26297382;67,99340418;66,00498009;1,277148985;66,98911972;91,84767535;76,12144984;1,877221002
17;15;70,59222444;79,25118959;83,18855512;0,765042113;74,53012547;67,98250376;65,68809764;2,534999497;70,23205672;93,24239349;77,38897504;2,843632067
17;30;70,93992839;79,61049737;79,13043905;0,77090174;76,4213098;67,71076998;65,39624749;9,88615191;72,325143;94,77694181;76,98458021;9,515728014
17;45;71,73849261;79,352996;76,83145768;0,752612079;82,10379939;67,42859302;66,56332744;17,41208279;76,09134815;96,6183169;82,41203619;17,30272115
18;00;73,44921902;78,37292595;76,14426741;0,768010369;81,95782496;68,98144121;69,43497104;24,66255041;79,21091908;99,73387104;82,25705035;26,3251897
18;15;74,76815306;78,11416482;75,25465778;1,040345642;84,7296456;70,04691255;68,73035742;31,49341862;81,99021691;99,19068094;82,95572843;33,40545326
18;30;75,72284627;77,62167179;74,83037864;1,865906159;88,39235066;69,459559;69,81773577;38,76933233;88,04619282;98,68157406;87,28635175;43,85708657
18;45;77,10518675;77,33115292;76,23747973;4,516608591;92,18556534;71,23503779;71,69144055;52,51571863;91,42815364;98,7278459;91,53657967;49,64407592
19;00;79,09950885;76,66306459;76,904916;10,63353474;95,36498394;71,41608324;71,17255279;64,75040752;95,20753667;98,05024854;93,46732031;60,44312994
