X	X.1	K0.1radni.4zima.DF
8	15	65,84023995
8	30	69,84563969
8	45	73,44785147
9	0	78,56844579
9	15	92,08780529
9	30	95,97589538
9	45	96,44700259
10	0	98,76958101
10	15	100
10	30	99,96438572
10	45	99,53507539
11	0	96,6177973
11	15	96,51964478
11	30	97,05515612
11	45	96,62140721
12	0	96,4920167
12	15	91,77621354
12	30	90,92313637
12	45	88,12551315
13	0	85,20699204
13	15	82,8472476
13	30	82,95842069
13	45	80,44740697
14	0	78,22893077
14	15	76,23804365
14	30	73,25298713
14	45	71,91007079
15	0	70,91888302
15	15	69,0285478
15	30	68,24424023
15	45	68,21546121
16	0	68,16808022
16	15	67,97479199
16	30	68,32564855
16	45	69,42645496
17	0	69,06166792
17	15	69,39816881
17	30	69,1549269
17	45	70,51895562
18	0	71,70849036
18	15	72,89068072
18	30	72,78130851
18	45	73,06877377
19	0	72,99509167
19	15	74,03534758
19	30	72,85995998
19	45	71,95327318
20	0	70,66233078
20	15	71,08284789
20	30	70,95290764
20	45	69,74067899
21	0	66,16029723
21	15	56,05405614
21	30	52,22962546
21	45	51,77179608
22	0	51,32580925
22	15	49,58969785
22	30	48,458669
22	45	48,06330204
23	0	46,97323326
23	15	46,0960675
23	30	45,67551518
23	45	44,11333719
X	X.1	P2.2subota.4zima
0	0	36,05937689
0	15	35,0088195
0	30	36,08638258
0	45	35,25170857
1	0	35,28659888
1	15	36,08549441
1	30	34,02564444
1	45	34,84765417
2	0	33,00811874
2	15	33,66111724
2	30	32,57627456
2	45	32,04757629
3	0	32,86397627
3	15	33,28541169
3	30	33,47578498
3	45	34,7903176
4	0	33,67318135
4	15	33,22857849
4	30	33,75203244
4	45	32,62668485
5	0	33,71588853
5	15	32,63081593
5	30	32,93191038
5	45	32,48351283
6	0	33,47660055
6	15	34,94578122
6	30	35,44094684
6	45	35,27148063
7	0	38,35329231
7	15	43,53554599
7	30	45,8702664
7	45	48,73098185
8	0	50,57473306
8	15	57,03335952
8	30	67,8582051
8	45	72,53345412
9	0	77,25717253
9	15	91,52478737
9	30	94,04776834
9	45	96,87360558
10	0	94,08114853
10	15	94,92805122
10	30	95,11866168
10	45	97,92596351
11	0	100
11	15	93,32366059
11	30	91,90838723
11	45	92,80781295
12	0	90,69961217
12	15	89,41508372
12	30	87,48650623
12	45	84,57597098
13	0	76,99752924
13	15	74,94342454
13	30	73,51013852
13	45	74,98140772
14	0	77,84115272
14	15	76,81598925
14	30	76,2510551
14	45	78,57390017
15	0	78,00891035
15	15	77,19339128
15	30	75,31202716
15	45	75,37807119
16	0	74,69322442
16	15	74,64399028
16	30	73,49624725
16	45	73,05935477
17	0	72,3791473
17	15	72,3192527
17	30	73,58128892
17	45	74,90396511
18	0	76,73642907
18	15	79,22219403
18	30	79,90120114
18	45	80,26443118
19	0	80,83744356
19	15	79,22590159
19	30	79,7883721
19	45	78,7518052
20	0	78,95636985
20	15	77,80600346
20	30	77,06513664
20	45	74,94129729
21	0	67,8861401
21	15	55,34787922
21	30	50,59521421
21	45	49,64059611
22	0	48,72973793
22	15	42,86244871
22	30	39,90234293
22	45	38,62732056
23	0	37,66800992
23	15	37,10432938
23	30	38,42921753
23	45	44,42402084
X	X.1	JRO.2subota.4zima
0	0	97,8761993
0	15	98,31765175
0	30	98,28525207
0	45	98,64847885
1	0	99,3007391
1	15	99,65432098
1	30	99,58327621
1	45	99,41751388
2	0	99,55813146
2	15	99,86481274
2	30	99,58936462
2	45	99,5330225
