;;K0,1radni,4zima DF;P1,1radni,4zima DF;P2,1radni,4zima DF;JR0,1radni,4zima DF;K0,2subota,4zima;P1,2subota,4zima;P2,2subota,4zima;JRO,2subota,4zima;K0,3nedjelja,4zima;P1,3nedjelja,4zima;P2,3nedjelja,4zima;JRO,3nedjelja,4zima
13;15;60,52772138;74,27135631;86,56617387;0,75660898;74,12991468;82,8472476;74,94342454;1,365041011;83,38029874;84,98819357;74,65552769;2,799860848
13;30;60,52162212;74,30066375;85,49696237;0,763749582;74,52919674;82,95842069;73,51013852;1,350319652;81,11452045;84,37963798;74,76154699;3,089584101
13;45;60,73451559;74,24542103;83,36119298;0,796903431;74,5069032;80,44740697;74,98140772;1,61562625;78,43942695;83,32567263;76,87809366;2,859096352
14;00;62,31724016;72,84088684;79,51893389;0,73852338;75,54668825;78,22893077;77,84115272;1,967263527;77,36987936;83,1243905;77,48767927;2,68650859
14;15;63,29716215;71,77849428;74,75290664;0,806690789;75,9806382;76,23804365;76,81598925;1,549392336;76,25031441;83,39109972;77,38185937;1,901553679
14;30;63,25947105;71,85450751;75,57929063;0,875764707;77,06688726;73,25298713;76,2510551;1,610803595;75,55424747;84,75286602;76,30839793;1,511923366
14;45;64,5219888;71,50480053;76,14457678;1,006564979;76,87907573;71,91007079;78,57390017;1,760462476;73,64811483;82,80320471;77,70320565;1,442695094
15;00;64,93194632;70,71513992;73,70930806;0,976084387;77,28380061;70,91888302;78,00891035;1,669763057;73,21105498;83,12275336;76,58898576;1,188235886
15;15;65,46679661;70,37719541;72,23867966;0,94359391;75,92964852;69,0285478;77,19339128;2,030037755;72,95853104;83,80899317;76,12464692;0,965094069
15;30;66,56614488;68,36188309;74,45718165;0,847195987;75,5819092;68,24424023;75,31202716;2,041425109;72,2594822;83,4181494;76,10792447;0,908060362
15;45;66,44751017;67,6813141;73,49591195;0,907020985;76,32044308;68,21546121;75,37807119;1,900783946;70,87974135;83,43197367;77,71866074;0,996077879
16;00;66,51357535;67,86994357;70,17237486;0,90629746;76,06072148;68,16808022;74,69322442;1,992546569;70,73115093;84,90905498;77,36297395;1,155283113
16;15;66,93783251;66,58294017;71,24342411;0,876508003;77,19379813;67,97479199;74,64399028;2,739903854;71,31302835;85,54931111;78,71307579;1,818040106
16;30;68,53810487;65,10962187;71,16885838;0,830528412;79,83774052;68,32564855;73,49624725;5,325105723;73,43364491;87,23410643;79,06981366;4,332892663
16;45;69,20929336;65,01872034;70,18067419;1,045702211;82,78282315;69,42645496;73,05935477;21,78783475;75,40666259;89,70350191;78,94830547;21,75521255
17;00;70,19430406;64,51938358;69,30405685;3,179097583;85,26853752;69,06166792;72,3791473;46,18116622;77,59328719;92,07730967;80,96483171;53,76494123
17;15;72,1662777;64,50017306;69,37264463;8,748870544;87,58794717;69,39816881;72,3192527;58,38196417;81,42980051;93,50742735;82,85789294;67,93905764
17;30;74,76521461;64,43820754;70,78017539;14,10366321;90,98821648;69,1549269;73,58128892;66,56160056;84,54826337;96,86566303;82,8644562;75,84068394
17;45;77,58723979;64,59557861;71,59973823;20,87866848;94,14251939;70,51895562;74,90396511;72,16068854;87,63213616;97,76898858;84,43514713;78,1875927
18;00;80,59188297;64,95519483;73,0482547;28,35137392;95,908579;71,70849036;76,73642907;80,97197592;88,91159194;97,66930607;85,41411384;86,75110734
18;15;83,3077536;64,08542163;72,8099627;34,84231573;97,04491035;72,89068072;79,22219403;87,91793159;90,69837466;100;87,36917795;89,03999751
18;30;86,38917476;63,25696465;73,05256733;42,26196197;98,68231569;72,78130851;79,90120114;94,16407808;91,54739679;98,30924333;91,94188115;94,43863819
18;45;89,93844431;62,80065265;73,17774491;53,60884154;99,20866422;73,06877377;80,26443118;94,61124598;93,28106156;97,98172677;95,46986674;94,49393061
19;00;93,44419583;61,8506828;72,84818337;63,57934738;98,08608037;72,99509167;80,83744356;94,67462054;93,47578764;97,2531042;96,44488604;94,61353484
19;15;97,43980071;60,24193295;72,96843013;77,2565023;98,3043294;74,03534758;79,22590159;94,75454637;94,95389111;97,53357159;97,74974126;94,73811186
19;30;98,87277393;58,95532248;72,04242892;83,88276935;99,17907096;72,85995998;79,7883721;94,84772321;97,13491267;97,02960213;100;94,6731428
19;45;98,86861387;56,68000052;69,54478167;91,43406854;97,55846396;71,95327318;78,7518052;94,77948491;96,26056387;96,00264368;96,58831118;94,57036004
20;00;98,81118393;54,1262677;64,76830194;93,93358689;98,65566851;70,66233078;78,95636985;94,80790266;96,07416823;95,57204979;95,78157767;94,61716577
20;15;98,03988493;45,71402711;55,63935702;94,16178456;99,09466895;71,08284789;77,80600346;95,12748557;96,88107427;96,80360353;95,0352079;94,55772678
20;30;97,78984317;42,57712482;52,47472893;94,20211855;97,55928919;70,95290764;77,06513664;95,1822032;95,94271658;93,93394201;93,85682217;94,27545814
20;45;97,27987255;41,00299183;50,35128342;94,60214961;95,7241331;69,74067899;74,94129729;95,40050549;94,59878231;93,36839915;92,96272159;94,48047074
21;00;95,37313841;39,70775452;46,61291214;95,19280636;93,68992036;66,16029723;67,8861401;95,8207935;92,4778926;89,00612491;85,16433143;95,17040094
21;15;98,62560748;37,69092327;38,5594048;97,73763546;95,66202771;56,05405614;55,34787922;98,17681088;96,03999177;79,62887652;73,43568392;97,2631329
21;30;100;35,73611814;33,32376187;99,44405562;98,36601215;52,22962546;50,59521421;100;99,71697293;75,87720721;68,97007812;98,71882815
21;45;97,91220059;34,98103726;31,45647075;100;100;51,77179608;49,64059611;99,53176325;100;74,97460884;69,57833554;99,1403391
22;00;94,77899961;34,700261;30,08252212;99,29954707;99,39252111;51,32580925;48,72973793;98,23596273;98,82517644;74,30951958;69,76582781;99,1115666
22;15;90,29547374;34,12684829;28,82303363;99,87501653;99,42163269;49,58969785;42,86244871;98,86339548;99,27607181;72,64095174;59,99258575;99,77894812
22;30;84,0405445;32,58708195;27,83714559;99,59467501;96,99088524;48,458669;39,90234293;98,6187982;96,0336553;71,60986739;54,05658997;99,46872845
22;45;76,44178727;31,61838052;27,34537382;98,86534039;92,91853236;48,06330204;38,62732056;97,86539358;90,88108193;69,98068802;53,68342368;98,19282648
23;00;69,2575068;30,59836371;26,83506891;98,79846902;88,09192513;46,97323326;37,66800992;97,76921544;85,26804034;67,78276151;51,61843341;97,74353625
23;15;62,95554153;29,71992066;26,63745562;98,77251088;84,24384078;46,0960675;37,10432938;98,22979297;78,73869558;66,13405706;50,81951362;98,0164293
23;30;57,30794465;29,50735574;26,72528094;98,67152615;78,73607398;45,67551518;38,42921753;98,99027559;72,42938697;64,66125331;52,99742441;98,40839112
23;45;52,40829253;28,5731402;26,13924961;99,09356204;74,38978417;44,11333719;44,42402084;98,75800725;67,61184009;63,84499538;53,53001507;98,60316859
